Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Total Gifted Subs,Gifted Tier 1 subs
Thu May 06 2021,0,0,0,3,1,1,1,3,0,0,0,0,0,0,0,0,0,10,0.0034999999999999996,0,0,0,0,0,0,0,0
Fri May 07 2021,1,18.27,8.03,351,18,5,0,1,0,51,12,1590,197,32,2.375,0,0,0,0.098,0,0,0,0,1,1,0,0
Sat May 08 2021,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
Sun May 09 2021,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon May 10 2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue May 11 2021,0,0,9.94,558,22,0,0,1,9.77,78,20,1760,178,37,0,0,0,0,0.07,0,0,0,0,0,0,0,0
Wed May 12 2021,0,0,7.98,412,19,0,0,5,4.08,52,19,1372,173,39,0,0,0,10.95,0.0525,0,0.12,0,0,0,0,0,0
Thu May 13 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.305,0,0,0,0,0,0,0,0,1,1,0,0
Fri May 14 2021,0,0,4.53,285,16,0,0,1,0,58,9,789,173,37,0,0,0,0,0.055999999999999994,0,0,0,0,0,0,0,0
Sat May 15 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun May 16 2021,0,0,12.34,331,24,0,2,6,0.65,111,28,2604,211,81,0,0,0,0,0.0455,0,0,0,0,0,0,0,0
Mon May 17 2021,0,0,0,3,1,1,0,3,0,0,0,0,0,0,2.37,0,0,0,0.021,0,0.04,0,0,1,1,0,0
Tue May 18 2021,0,0,11.99,389,23,3,0,4,2.97,79,20,2158,179,44,4.92,0,0,0,0.063,0,0,0,0,2,2,0,0
Wed May 19 2021,0,0,13.16,412,26,3,0,7,2.11,100,24,2369,181,55,0,2.495,0,0.5,0.11199999999999999,0,0.08,0,1,0,0,0,0
